7
3 5
6 7
9 7
7
3 He
13,29	-0,946080061
-1,3	-5,339139361
-22,78	-10,70199525
5 li	--
-3,47	-3,494958761
-4,32	-2,785471348
-8,89	-5,016150475
-15,26	-6,023987739
-40,91	-13,37082474
6 be	--
-9	0,01564
0	0,05167
-1,23	0,03986
-4,87	0,00185
-17,37	3,9E-4
-52,43	2,4E-7
7 b	--
-28,22	1,92E-4
-9,36	0,05821
-3,79	0,18109
-2,9	0,03578
-8,86	0,01202
-18,44	2,42E-4
-35,74	6,6E-5
9 c	--
-43,27	-11,87103
-26,17	-8,722374042
-13,78	-3,695702679
0,69	-0,996958635
4,42	-0,682207241
0,69	-3,573766647
-13,78	-4,48738715
-26,17	-8,246402987
-43,27	-12,95896983
7 n	--
-35,74	-9,570593137
-18,44	-5,193957351
-8,86	-2,122766666
-2,9	-0,216292076
-3,79	-1,974217035
-9,36	-2,15330339
-14,97	-5,078378946
7 o	--
-52,43	-11,7
-31,1	-7,81
-17,37	-3,9
-4,87	0,0286
-1,23	0,321
2,29	-2,74
-9	-7,49
