 a=  0.30692407375957492     
 b(           1 )=   8.3774013513198327     
 b(           2 )=   15.006386595503205     
 b(           3 )=   5.6690817302424632     
 b(           4 )=   4.6097525794204195     
 b(           5 )=   2.5573264919742158     
 b(           6 )=   1.2822174068881715     
 b(           7 )= -0.54706642589885324     
 sigma           1           3  0.16928188661628757     
 sigma           2           4  0.39616440622966820     
 sigma           3           6  0.45128570731261547     
 sigma           4           7  0.44784381831069542     
 sigma           5          10   2.4288535143106422     
 sigma           6           7   1.8266400791405375     
 sigma           7           7   15.732465607954902     
