7
3 4 6 7 10 7 7
#3 He--
1 1 -19.86 2.034705648 3086.230270718019
1 2 -34.53 -2.63108916 289.71881234537943
1 3 -48.43 -5.829345698 117.99642200329863
#4 li--
2 1 -27.51 5.92397287 373.894200114
2 2 -28.93 7.03048915 1130.583499871
2 3 -33.34 5.228223175 186.46120008493
2 4 -38.19 2.565787468 13.010900004066
#6 be--
3 1 -28.78 -2.375155786 37.518877788404176
3 2 -22.61 -1.320506621 1074.3739287013475
3 3 -24 -1.465337568 9271.14745080021
3 4 -30.17 -4.305065594 5404.214580455334
3 5 -35.63 -4.853631545 31143.737323570913
3 6 -49.91 -10.319003 1314.217880517353
#7 b--
4 1 -33.93 -5.914503506 1.0892577423997263
4 2 -20.63 -1.378326191 1014.0158437205329
4 3 -17.16 -0.010050336 39733.48905074609
4 4 -20.09 -1.682008605 74458.06760738247
4 5 -23.47 -2.407945609 359350.81504388474
4 6 -29.13 -5.546778726 155316.6591267119
4 7 -35.01 -5.860436285 1132076.0472066507
#10 c--
5 1 -40.65 -8.47E+00 0.08458485900156465
5 2 -26.4 -5.22E+00 21.75840239619708
5 3 -19.15 -2.12E+00 4817.449896870594
5 4 -7.79 2.31E-01 504337.01291112107
5 5 -9.02 4.17E-01 6058664.77736321
5 6 -8.51 3.13E-01 54461250.13221766
5 7 -13.78 -1.78E+00 66986388.50001999
5 8 -17.97 -2.76E+00 250758278.6964752
5 9 -24.24 -5.91E+00 107177832.62463401
5 10 -28.8 -9.38E+00 33264456.08317183
#7 n--
6 1 -24.54 -6.502290171 0.6051431901628379
6 2 -11.67 -3.244193633 156.93102333592125
6 3 -6.87 -0.401971219 26850.206237333314
6 4 -3.45 0.90016135 984767.9907263903
6 5 -7.15 -0.733969175 1916537.6810549598
6 6 -9.34 -0.415515444 26284357.70139271
6 7 -13.19 -4.017383521 7149953.985106192
#7 o--
7 1 -31.43 -8.33E+00 0.09729574708953276
7 2 -14.88 -5.55E+00 15.642631884188171
7 3 -7.28 -2.12E+00 4817.449896870594
7 4 1.45 6.83E-01 792541.3816790107
7 5 -0.47 1.35E+00 15401877.876773437
7 6 -2.69 -1.58E+00 8202913.877279073
7 7 -2.98 -6.17E+00 830680.0652441713
