10 5
6 8
11 10
10 7
5 5
5 0
#5 li	--
-1.40554 -3.073910055
-3.16684 -1.855402392
-8.09345 -3.34898451
-16.44854 -4.634598997	
-44.31774 -12.8361286
#6 be	--
-6.49824 -4.112915948
0 -2.353036636
-3.55162 -2.440239258
-9.80881 -5.763532479
-23.50384 -7.463581755	
-53.04674 -14.60552112
#8 b	--
-22.92774 -9.779045846	
-8.67994 -2.849728979
-5.32734 -1.243198851
-8.55824 -2.721287428
-14.11234 -3.955452563
-22.29244 -8.020289023
-36.32374 -9.584135316	
-74.00674 -16.00178036
#11 c	--
-34.87044 -12.74050472
-20.43734 -7.776289714
-11.12414 -3.803168601
-0.01074 -1.17454346
0.98035 -0.891086055
1.11237	-0.903868212
-1.81284 -3.316213058
-13.22614 -5.010135419
-25.7202 -8.003744012
-44.70774 -10.10542015
-61.1 -15.45026628
#10 n	--
-29.87484 -8.605685665
-15.1392 -4.698382568
-7.41116 -1.668763379
-2.46158 -0.099952941
-2.46158 -1.636449462
-7.41116 -1.970336047
-15.1392 -4.148378451
-29.87484 -6.185049296
-42.81 -12.16289822
-60.7 -13.48261614
#10 o	--
-61.1 -10.9251388
-25.7202 -7.712482275
-13.22614 -3.426207545
-1.81284 -0.207134877
1.11237 -0.257295134
0.98035 0.61817037
-0.01074 -0.747286627
-11.12414 -1.507061846
-20.43734 -5.681042988
-34.87 -9.837699812
#7 F	--
-22.29244 -4.140179099
-14.11234 -1.835836756
-8.55824 -0.630623187
-5.32734 0.76277585
-8.67994 1.456564084
-11.88644 -1.894058011
-22.88774 -7.256218319
#5 Ne	--
-35.64354 -7.14789495
-23.50384 -3.862280914
-9.80881 -0.113852022
-3.55162 0.588536384	
3.53524 -6.204657768
#5 Na	--
-44.31774 -7.607137859
-27.54244 -4.20572315
-16.44854 -1.134322371
-8.09345 -1.407232032
-3.165 -4.070432742
#5 Mg	--
-56.78 -12.88026462
-37.09994 -8.927103163
-22.80204 -6.245067306
-8.816 -5.193957351
-1.075 -5.011635794
    0.2071         0         0         0
   -2.1087    1.0781    1.5505    0.3288
   -2.7959    0.7727    1.0911    0.3090
   -1.7937    1.6462    3.2376    0.5708
   -2.3182    1.3982    3.2016    0.5787
   -1.0494    1.1388    2.2488    0.9359
   -0.5266    1.3725    2.2535    2.9102
    0.8392    1.7562    3.3560    3.8896
   -0.4916    3.6538    6.4451   26.8035
    0.4385    2.2716    3.8536   17.7702
   -2.4097    1.6108    2.3793    0.9039
